Data;4006 - NFSP sem desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Total - Governo Federal e Banco Central - u.m.c. (milhões);4013 - NFSP sem desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Total - Empresas estatais federais - u.m.c. (milhões);4016 - NFSP sem desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Total - Setor público consolidado - u.m.c. (milhões);4027 - NFSP sem desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Interna - Setor público consolidado - u.m.c. (milhões);4049 - NFSP sem desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Total - Setor público consolidado - u.m.c. (milhões);4151 - Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional-posição em carteira - Total emitido - u.m.c. (milhões);4583 - NFSP sem desvalorização cambial - Fluxo mensal corrente - Resultado nominal - Total - Setor público consolidado - R$ (milhões);7531 - Comportamento monetário - Comportamento do público - D - Índice;7534 - Multiplicador monetário - K - Índice
07/2024;81.368,93 ;299,72 ;101.472,06 ;114.386,88 ;80.123,74 ;9.286.856,06 ;101.472,06 ;0,55 ;1,53
08/2024;84.381,32 ;-227,74 ;90.380,52 ;86.277,15 ;68.955,48 ;9.163.319,16 ;90.380,52 ;0,55 ;1,52
09/2024;42.338,56 ;663,00 ;53.766,54 ;33.639,41 ;46.427,01 ;9.101.596,73 ;53.766,54 ;0,54 ;1,52
10/2024;65.048,47 ;56,91 ;74.680,73 ;47.721,32 ;111.563,67 ;9.227.590,84 ;74.680,73 ;0,54 ;1,48
11/2024;90.375,23 ;1.477,98 ;99.078,64 ;33.850,61 ;92.459,04 ;9.353.150,33 ;99.078,64 ;0,54 ;1,49
12/2024;60.726,94 ;613,63 ;80.372,05 ;-56.151,64 ;96.117,21 ;9.484.417,58 ;80.372,05 ;0,55 ;1,53
01/2025;-49.618,73 ;227,49 ;-63.737,13 ;-42.241,83 ;40.358,42 ;9.579.991,59 ;-63.737,13 ;0,51 ;1,38
02/2025;98.609,43 ;217,42 ;97.225,82 ;87.949,78 ;78.252,53 ;9.820.923,66 ;97.225,82 ;0,50 ;1,38
03/2025;69.009,78 ;552,36 ;71.620,51 ;84.374,45 ;75.208,72 ;9.871.730,64 ;71.620,51 ;0,51 ;1,38
04/2025;43.966,35 ;626,77 ;55.535,99 ;41.374,84 ;69.685,73 ;10.002.756,71 ;55.535,99 ;0,51 ;1,41
05/2025;121.038,79 ;527,73 ;125.884,81 ;105.622,62 ;92.145,26 ;10.057.457,10 ;125.884,81 ;0,51 ;1,40
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
